GSM_number,Sample,image_name,Parameter Value[Image file 05/18/2021],Parameter Value[Number of Leaves 05/18/2021]
GSM5691011,JSC-1A4,P1_7_JSC1A4.jpg,LSDS-12_morphometric-photography_210518- P1.tiff,9
GSM5691012,Apollo 11,P1_2_Apollo11.jpg,LSDS-12_morphometric-photography_210518- P1.tiff,4
GSM5691013,Apollo 12,P1_4_Apollo12.jpg,LSDS-12_morphometric-photography_210518- P1.tiff,4
GSM5691014,Apollo 17,P1_6_Apollo17.jpg,LSDS-12_morphometric-photography_210518- P1.tiff,2
GSM5691015,JSC-1A4,P2_7_JSC1A4.jpg,LSDS-12_morphometric-photography_210518-P2.tiff,9
GSM5691016,Apollo 11,P2_2_Apollo11.jpg,LSDS-12_morphometric-photography_210518-P2.tiff,2
GSM5691017,Apollo 12,P2_4_Apollo12.jpg,LSDS-12_morphometric-photography_210518-P2.tiff,5
GSM5691018,Apollo 17,P2_6_Apollo17.jpg,LSDS-12_morphometric-photography_210518-P2.tiff,6
GSM5691019,JSC-1A4,P3_7_JSC1A4.jpg,LSDS-12_morphometric-photography_210518-P3.tiff,8
GSM5691020,Apollo 11,P3_2_Apollo11_v2.jpg,LSDS-12_morphometric-photography_210518-P3.tiff,0
GSM5691021,Apollo 12,P3_4_Apollo12.jpg,LSDS-12_morphometric-photography_210518-P3.tiff,4
GSM5691022,Apollo 17,P3_6_Apollo17.jpg,LSDS-12_morphometric-photography_210518-P3.tiff,4
GSM5691023,JSC-1A4,P4_7_JSC1A4.jpg,LSDS-12_morphometric-photography_210518-P4.tiff,10
GSM5691024,Apollo 11,P4_2_Apollo11.jpg,LSDS-12_morphometric-photography_210518-P4.tiff,2
GSM5691025,Apollo 12,P4_4_Apollo12.jpg,LSDS-12_morphometric-photography_210518-P4.tiff,6
GSM5691026,Apollo 17,P4_6_Apollo17.jpg,LSDS-12_morphometric-photography_210518-P4.tiff,4