image_name,sample_name,sample_note,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
P1_1_JSC1A1.jpg,JSC1A1,None,TRUE,26514,35592,0.744942684,1654,237,224,1763,"(368.61167684996605, 269.36203515124083)",25,TRUE,"(364.4994812011719, 264.59979248046875)",236,170,131.0694885,0.694939488
P1_2_Apollo11.jpg,Apollo11,None,TRUE,3448,4469,0.771450945,454,71,76,619,"(1045.3259860788862, 276.7827726218097)",20,TRUE,"(1046.812744140625, 278.5436706542969)",78,65,147.694519,0.5531412
P1_3_JSC1A2.jpg,JSC1A2,None,TRUE,24670,35882,0.687521772,1708,228,227,1575,"(524.6911633563032, 438.2042967166599)",28,TRUE,"(528.0311889648438, 438.63818359375)",217,172,136.9510345,0.613036721
P1_4_Apollo12.jpg,Apollo12,None,TRUE,4606,5602,0.822132976,492,106,78,748,"(1178.6432913590968, 440.1938775510204)",21,TRUE,"(1178.159912109375, 441.15155029296875)",93,66,75.32321167,0.694892456
P1_5_JSC1A3.jpg,JSC1A3,None,TRUE,24493,34938,0.701031813,1378,203,257,1671,"(352.43718613481406, 633.9477809986527)",29,TRUE,"(356.1801452636719, 633.7501831054688)",221,177,173.6651917,0.594594206
P1_6_Apollo17.jpg,Apollo17,None,TRUE,613,1402,0.437076649,328,44,57,403,"(1028.9559543230016, 576.2218597063621)",14,TRUE,"(1027.9112548828125, 578.1015014648438)",47,36,169.521347,0.627678818
P1_7_JSC1A4.jpg,JSC1A4,None,TRUE,26187,40154,0.652164168,2071,210,263,1840,"(514.70756482224, 765.3225264444189)",27,TRUE,"(515.1608276367188, 763.8713989257812)",210,184,6.547950268,0.481156844
P2_1_JSC1A1.jpg,JSC1A1,None,TRUE,23430,35698,0.656339291,1866,226,259,1676,"(334.8941954758856, 269.0431071276142)",27,TRUE,"(333.406494140625, 271.82269287109375)",224,172,152,0.641765202
P2_2_Apollo11.jpg,Apollo11,None,TRUE,960,1587,0.604724409,275,32,62,398,"(1002.3322916666667, 308.95104166666664)",15,TRUE,"(1003.7577514648438, 309.1436462402344)",64,27,8.57848835,0.907030564
P2_3_JSC1A2.jpg,JSC1A2,None,TRUE,25414,35539,0.715101719,1414,232,250,1761,"(524.3067994019044, 407.66207602109074)",30,TRUE,"(521.9527587890625, 409.50189208984375)",214,186,27.54234886,0.490492789
P2_4_Apollo12.jpg,Apollo12,None,TRUE,8871,11492,0.771894714,913,116,145,941,"(1161.509863600496, 425.52530718070113)",26,TRUE,"(1159.4385986328125, 424.6788635253906)",126,98,7.590845585,0.633309346
P2_5_JSC1A3.jpg,JSC1A3,None,TRUE,27311,38033,0.718086925,1533,234,243,1769,"(351.93720478927906, 601.9223023690088)",28,TRUE,"(354.1665954589844, 603.7784423828125)",243,186,139.7661133,0.643096109
P2_6_Apollo17.jpg,Apollo17,None,TRUE,11890,17330,0.686073685,1455,177,151,1116,"(1006.9562657695542, 595.6727502102607)",27,TRUE,"(1008.271484375, 593.8509521484375)",152,124,72.67053223,0.576552201
P2_7_JSC1A4.jpg,JSC1A4,None,TRUE,24012,37439,0.641354719,1586,235,255,1752,"(496.4552723638181, 747.0084124604365)",37,TRUE,"(492.16314697265625, 748.81982421875)",217,193,18.21343613,0.460866427
P3_1_JSC1A1.jpg,JSC1A1,None,TRUE,27169,40088,0.677725532,2314,271,238,1906,"(350.0188450071773, 266.55198939968346)",22,TRUE,"(346.449951171875, 263.39068603515625)",227,189,120.2905502,0.55159599
P3_2_Apollo11_v2.jpg,Apollo11,None,TRUE,1339,4097,0.326824506,749,101,72,706,"(2679.1389096340554, 896.3898431665422)",16,TRUE,"(2670.555908203125, 894.7352905273438)",88,51,110.9046249,0.815978881
P3_3_JSC1A2.jpg,JSC1A2,None,TRUE,26434,33916,0.779384665,1278,253,186,1926,"(504.33509873647574, 420.750283725505)",35,TRUE,"(503.52752685546875, 419.1715087890625)",250,150,117.2370911,0.800124447
P3_4_Apollo12.jpg,Apollo12,None,TRUE,1790,2191,0.816978549,314,67,52,441,"(1196.8530726256984, 453.8223463687151)",22,TRUE,"(1197.8809814453125, 452.623291015625)",62,41,62.18897247,0.757536774
P3_5_JSC1A3.jpg,JSC1A3,None,TRUE,22656,31550,0.718086877,1571,258,193,1804,"(358.6905014124294, 590.0986052259886)",27,TRUE,"(359.6431579589844, 583.0343017578125)",222,155,89.91685486,0.714184351
P2_6_Apollo17.jpg,Apollo17,None,TRUE,1766,2799,0.630826933,388,57,80,560,"(993.8737259343148, 579.0520951302378)",19,TRUE,"(994.1859741210938, 574.8667602539062)",76,42,159.4846344,0.828580333
P3_7_JSC1A4.jpg,JSC1A4,None,TRUE,15263,18483,0.825763519,873,185,140,1293,"(516.7197143418725, 775.9875515953613)",34,TRUE,"(516.36865234375, 777.3895874023438)",177,118,84.59078217,0.743002506
P4_1_JSC1A1.jpg,JSC1A1,None,TRUE,22571,32101,0.703124513,1797,197,221,1503,"(367.56674493819503, 264.7430330955651)",25,TRUE,"(369.42242431640625, 266.61077880859375)",203,172,0.786222219,0.531675813
P4_2_Apollo11.jpg,Apollo11,None,TRUE,994,1330,0.747368421,237,39,48,327,"(993.0321931589538, 287.0754527162978)",15,TRUE,"(992.892822265625, 285.9944152832031)",43,34,165.8052063,0.600712214
P4_3_JSC1A2.jpg,JSC1A2,None,TRUE,30374,41365,0.7342834,1453,260,233,1735,"(509.05175479028117, 417.7306907223283)",27,TRUE,"(510.23175048828125, 418.4692077636719)",240,189,74.81034088,0.617557444
P4_4_Apollo12.jpg,Apollo12,None,TRUE,8456,11775,0.718131635,1327,124,145,1064,"(1164.4458372753074, 430.76903973509934)",22,TRUE,"(1166.997314453125, 433.3075256347656)",139,90,144.4739075,0.762026155
P4_5_JSC1A3.jpg,JSC1A3,None,TRUE,23611,36628,0.644616141,1700,213,242,1713,"(355.95557155563085, 570.9201643301851)",21,TRUE,"(360.51702880859375, 572.760986328125)",217,180,144.2941589,0.557767278
P4_6_Apollo17.jpg,Apollo17,None,TRUE,2881,3935,0.732147395,496,86,65,610,"(1041.7289135716765, 629.7278722665741)",16,TRUE,"(1043.5126953125, 630.4882202148438)",74,57,92.45368958,0.64148246
P4_7_JSC1A4.jpg,JSC1A4,None,TRUE,25765,36005,0.715585119,1503,225,225,1577,"(509.14733165146515, 762.3930914030661)",24,TRUE,"(501.72149658203125, 760.4374389648438)",210,203,0.769141555,0.254401975